Employee_ID,Employee_type,department,stress_level,dept_avg_stress,risk_status
HCP-02638,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02561,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01642,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01553,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03189,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01854,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03275,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02657,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01634,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01470,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02682,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-04685,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00013,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00389,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02501,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03722,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-04243,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00649,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00187,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02543,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03421,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03982,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03966,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02080,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-04605,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-04940,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00315,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00071,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01945,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-02875,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03514,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-00531,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-01871,"Healthcare Administrator",Administration,8,5.52,"high risk"
